code,signal,name
002284,突破回踩,亚太股份
000906,上升通道回踩,浙商中拓
002088,MACD底背离,鲁阳节能
000530,长线均线支撑,冰山冷热
000811,突破回踩,冰轮环境
605377,突破回踩,华旺科技
000726,长线均线支撑,鲁  泰Ａ
603050,长线均线支撑,科林电气
000852,上升通道回踩,石化机械
603995,长线均线支撑,甬金股份
600711,突破回踩,盛屯矿业
002849,突破回踩,威星智能
002111,突破回踩,威海广泰
002803,上升通道回踩,吉宏股份
002036,上升通道回踩,联创电子
603926,上升通道回踩,铁流股份
002131,上升通道回踩,利欧股份
603803,上升通道回踩,瑞斯康达
603158,突破回踩,腾龙股份
002033,上升通道回踩,丽江股份
002658,上升通道回踩,雪迪龙
600168,长线均线支撑,武汉控股
002858,上升通道回踩,力盛体育
600251,突破回踩,冠农股份
000501,上升通道回踩,武商集团
601598,长线均线支撑,中国外运
000783,长线均线支撑,长江证券
603916,上升通道回踩,苏博特
002884,上升通道回踩,凌霄泵业
603018,上升通道回踩,华设集团
600039,上升通道回踩,四川路桥
605399,长线均线支撑,晨光新材
600335,长线均线支撑,国机汽车
603221,长线均线支撑,爱丽家居
002181,长线均线支撑,粤 传 媒
688549,长线均线支撑,中巨芯
002556,突破回踩,辉隆股份
002429,突破回踩,兆驰股份
002728,MACD底背离,特一药业
603209,长线均线支撑,兴通股份
603788,上升通道回踩,宁波高发
002546,突破回踩,新联电子
003025,长线均线支撑,思进智能
000922,突破回踩,佳电股份
603187,突破回踩,海容冷链
000058,长线均线支撑,深 赛 格
603861,突破回踩,白云电器
002185,长线均线支撑,华天科技
600353,长线均线支撑,旭光电子
600109,上升通道回踩,国金证券
600373,MACD底背离,中文传媒
002119,上升通道回踩,康强电子
001338,上升通道回踩,永顺泰
600059,上升通道回踩,古越龙山
603206,上升通道回踩,嘉环科技
600419,上升通道回踩,天润乳业
603010,长线均线支撑,万盛股份
600356,突破回踩,恒丰纸业
600176,突破回踩,中国巨石
002014,上升通道回踩,永新股份
600379,上升通道回踩,宝光股份
002209,突破回踩,达 意 隆
002174,突破回踩,游族网络
600694,上升通道回踩,大商股份
600268,长线均线支撑,国电南自
000166,上升通道回踩,申万宏源
688033,突破回踩,天宜新材
603037,长线均线支撑,凯众股份
601881,上升通道回踩,中国银河
000533,上升通道回踩,顺钠股份
002358,上升通道回踩,森源电气
002376,上升通道回踩,新北洋
603700,上升通道回踩,宁水集团
600235,长线均线支撑,民丰特纸
002298,长线均线支撑,中电鑫龙
603045,长线均线支撑,福达合金
002727,上升通道回踩,一心堂
600435,突破回踩,北方导航
002491,上升通道回踩,通鼎互联
600628,上升通道回踩,新世界
603022,长线均线支撑,新通联
600573,长线均线支撑,惠泉啤酒
600138,长线均线支撑,中青旅
002337,突破回踩,赛象科技
600819,上升通道回踩,耀皮玻璃
601007,长线均线支撑,金陵饭店
002066,上升通道回踩,瑞泰科技
002852,上升通道回踩,道道全
603390,长线均线支撑,通达电气
600273,上升通道回踩,嘉化能源
600577,突破回踩,精达股份
688306,长线均线支撑,均普智能
603515,长线均线支撑,欧普照明
600350,突破回踩,山东高速
002112,上升通道回踩,三变科技
603638,长线均线支撑,艾迪精密
600712,长线均线支撑,南宁百货
600192,上升通道回踩,长城电工
002232,上升通道回踩,启明信息
688485,突破回踩,九州一轨
600906,上升通道回踩,财达证券
002030,MACD底背离,达安基因
688509,突破回踩,正元地信
000995,上升通道回踩,皇台酒业
603928,长线均线支撑,兴业股份
603313,长线均线支撑,梦百合
603777,上升通道回踩,来伊份
603682,上升通道回踩,锦和商管
600650,上升通道回踩,锦江在线
002582,上升通道回踩,好想你
688334,长线均线支撑,西高院
688570,上升通道回踩,天玛智控
600550,突破回踩,保变电气
603967,上升通道回踩,中创物流
600191,上升通道回踩,华资实业
603132,突破回踩,金徽股份
600879,突破回踩,航天电子
000803,长线均线支撑,山高环能
600877,突破回踩,电科芯片
002276,突破回踩,万马股份
603587,上升通道回踩,地素时尚
600855,上升通道回踩,航天长峰
600638,突破回踩,新黄浦
601890,长线均线支撑,亚星锚链
000685,长线均线支撑,中山公用
000830,突破回踩,鲁西化工
601901,上升通道回踩,方正证券
000682,上升通道回踩,东方电子
601002,上升通道回踩,晋亿实业
600327,长线均线支撑,大东方
600538,长线均线支撑,国发股份
601788,上升通道回踩,光大证券
603505,突破回踩,金石资源
605303,长线均线支撑,园林股份
002624,长线均线支撑,完美世界
002643,突破回踩,万润股份
000886,长线均线支撑,海南高速
603378,长线均线支撑,亚士创能
688432,长线均线支撑,有研硅
603125,长线均线支撑,常青科技
601339,突破回踩,百隆东方
600999,上升通道回踩,招商证券
000728,上升通道回踩,国元证券
600258,上升通道回踩,首旅酒店
002414,突破回踩,高德红外
605555,长线均线支撑,德昌股份
002648,突破回踩,卫星化学
600201,上升通道回踩,生物股份
002082,突破回踩,万邦德
002022,MACD底背离,科华生物
600177,长线均线支撑,雅戈尔
688548,突破回踩,广钢气体
600101,上升通道回踩,明星电力
688602,长线均线支撑,康鹏科技
600388,突破回踩,龙净环保
002561,长线均线支撑,徐家汇
603088,突破回踩,宁波精达
000862,长线均线支撑,银星能源
002823,突破回踩,凯中精密
605228,上升通道回踩,神通科技
001210,突破回踩,金房能源
000625,上升通道回踩,长安汽车
002330,长线均线支撑,得利斯
002187,突破回踩,广百股份
000419,上升通道回踩,通程控股
600354,上升通道回踩,敦煌种业
002469,上升通道回踩,三维化学
002909,上升通道回踩,集泰股份
688007,突破回踩,光峰科技
000715,上升通道回踩,中兴商业
002516,突破回踩,旷达科技
603985,突破回踩,恒润股份
002405,长线均线支撑,四维图新
002037,上升通道回踩,保利联合
688352,长线均线支撑,颀中科技
603585,长线均线支撑,苏利股份
603002,突破回踩,宏昌电子
688758,MACD底背离,赛分科技
600778,上升通道回踩,友好集团
002373,突破回踩,千方科技
603890,上升通道回踩,春秋电子
002533,上升通道回踩,金杯电工
002443,上升通道回踩,金洲管道
003037,突破回踩,三和管桩
603012,突破回踩,创力集团
003022,突破回踩,联泓新科
603178,突破回踩,圣龙股份
603718,MACD底背离,海利生物
002910,上升通道回踩,庄园牧场
600796,长线均线支撑,钱江生化
000672,突破回踩,上峰水泥
600704,突破回踩,物产中大
002677,突破回踩,浙江美大
002871,突破回踩,伟隆股份
002736,上升通道回踩,国信证券
688280,突破回踩,精进电动
600805,上升通道回踩,悦达投资
002887,长线均线支撑,绿茵生态
600641,突破回踩,万业企业
603043,上升通道回踩,广州酒家
603535,上升通道回踩,嘉诚国际
002572,长线均线支撑,索菲亚
000592,突破回踩,平潭发展
603536,长线均线支撑,惠发食品
603889,上升通道回踩,新澳股份
601919,长线均线支撑,中远海控
002419,长线均线支撑,天虹股份
002810,突破回踩,山东赫达
002333,长线均线支撑,罗普斯金
000949,突破回踩,新乡化纤
002797,上升通道回踩,第一创业
002584,长线均线支撑,西陇科学
600515,突破回踩,海南机场
600820,突破回踩,隧道股份
000532,突破回踩,华金资本
600399,突破回踩,抚顺特钢
000623,上升通道回踩,吉林敖东
002064,突破回踩,华峰化学
688750,突破回踩,金天钛业
688779,突破回踩,五矿新能
601022,上升通道回踩,宁波远洋
603105,上升通道回踩,芯能科技
002631,突破回踩,德尔未来
002406,突破回踩,远东传动
002340,突破回踩,格林美
001216,上升通道回踩,华瓷股份
002748,突破回踩,世龙实业
002355,上升通道回踩,兴民智通
601696,突破回踩,中银证券
600288,上升通道回踩,大恒科技
002394,突破回踩,联发股份
600250,长线均线支撑,南京商旅
600184,长线均线支撑,光电股份
603798,长线均线支撑,康普顿
603321,突破回踩,梅轮电梯
688517,长线均线支撑,金冠电气
600682,上升通道回踩,南京新百
000859,突破回踩,国风新材
688586,突破回踩,江航装备
