code,name,strategy,resonance_count,action_guide
603577,汇金通,"one_sun,macd_water,golden_pit",3,"[one_sun]: 【爆发位】次日关注高开(1%-3%)。若放量突破昨日高点可进场，止损设在阳线1/2处。
[macd_water]: 【强势位】DIF在水上。若股价回踩20日线企稳可低吸，MACD红柱缩短需减仓。
[golden_pit]: 【底部位】属于左侧潜伏。若今日放量阳线确认坑底，可轻仓试错，跌破坑底止损。"
603885,吉祥航空,"macd_water,golden_pit",2,"[macd_water]: 【强势位】DIF在水上。若股价回踩20日线企稳可低吸，MACD红柱缩短需减仓。
[golden_pit]: 【底部位】属于左侧潜伏。若今日放量阳线确认坑底，可轻仓试错，跌破坑底止损。"
002117,东港股份,"macd_water,golden_pit",2,"[macd_water]: 【强势位】DIF在水上。若股价回踩20日线企稳可低吸，MACD红柱缩短需减仓。
[golden_pit]: 【底部位】属于左侧潜伏。若今日放量阳线确认坑底，可轻仓试错，跌破坑底止损。"
600927,永安期货,"macd_water,golden_pit",2,"[macd_water]: 【强势位】DIF在水上。若股价回踩20日线企稳可低吸，MACD红柱缩短需减仓。
[golden_pit]: 【底部位】属于左侧潜伏。若今日放量阳线确认坑底，可轻仓试错，跌破坑底止损。"
002111,威海广泰,"macd_water,golden_pit",2,"[macd_water]: 【强势位】DIF在水上。若股价回踩20日线企稳可低吸，MACD红柱缩短需减仓。
[golden_pit]: 【底部位】属于左侧潜伏。若今日放量阳线确认坑底，可轻仓试错，跌破坑底止损。"
603901,永创智能,"macd_water,golden_pit",2,"[macd_water]: 【强势位】DIF在水上。若股价回踩20日线企稳可低吸，MACD红柱缩短需减仓。
[golden_pit]: 【底部位】属于左侧潜伏。若今日放量阳线确认坑底，可轻仓试错，跌破坑底止损。"
002090,金智科技,"macd_water,golden_pit",2,"[macd_water]: 【强势位】DIF在水上。若股价回踩20日线企稳可低吸，MACD红柱缩短需减仓。
[golden_pit]: 【底部位】属于左侧潜伏。若今日放量阳线确认坑底，可轻仓试错，跌破坑底止损。"
603926,铁流股份,"macd_water,golden_pit",2,"[macd_water]: 【强势位】DIF在水上。若股价回踩20日线企稳可低吸，MACD红柱缩短需减仓。
[golden_pit]: 【底部位】属于左侧潜伏。若今日放量阳线确认坑底，可轻仓试错，跌破坑底止损。"
002052,同洲电子,"one_sun,golden_pit",2,"[one_sun]: 【爆发位】次日关注高开(1%-3%)。若放量突破昨日高点可进场，止损设在阳线1/2处。
[golden_pit]: 【底部位】属于左侧潜伏。若今日放量阳线确认坑底，可轻仓试错，跌破坑底止损。"
002815,崇达技术,"macd_water,golden_pit",2,"[macd_water]: 【强势位】DIF在水上。若股价回踩20日线企稳可低吸，MACD红柱缩短需减仓。
[golden_pit]: 【底部位】属于左侧潜伏。若今日放量阳线确认坑底，可轻仓试错，跌破坑底止损。"
600843,上工申贝,"macd_water,golden_pit",2,"[macd_water]: 【强势位】DIF在水上。若股价回踩20日线企稳可低吸，MACD红柱缩短需减仓。
[golden_pit]: 【底部位】属于左侧潜伏。若今日放量阳线确认坑底，可轻仓试错，跌破坑底止损。"
