date,code,name,price,pct_chg
2025-12-29,002866,传艺科技,18.85,4.96
2025-12-29,688173,希荻微,14.82,-0.4
2025-12-29,605399,晨光新材,13.88,-0.93
2025-12-29,603213,镇洋发展,13.32,1.6
2025-12-29,601169,北京银行,5.52,0.55
2025-12-29,002771,真视通,15.16,0.73
2025-12-29,002072,凯瑞德,7.72,9.97
2025-12-29,605177,东亚药业,18.19,0.72
2025-12-29,002449,国星光电,8.48,0.59
2025-12-29,002107,沃华医药,6.33,2.43
2025-12-29,688560,明冠新材,15.31,6.76
2025-12-29,603336,宏辉果蔬,8.54,0.95
2025-12-29,600516,方大炭素,5.77,-1.54
2025-12-29,603116,红蜻蜓,6.3,9.95
2025-12-29,603815,交建股份,7.63,-4.51
2025-12-29,600100,同方股份,8.74,0.23
2025-12-29,002114,罗平锌电,8.56,-0.7
2025-12-29,002577,雷柏科技,17.77,0.11
2025-12-29,002313,日海智能,10.29,0.39
2025-12-29,600579,中化装备,8.25,-0.36
2025-12-29,000958,电投产融,6.66,1.37
2025-12-29,688105,诺唯赞,20.32,2.11
2025-12-29,600640,国脉文化,12.46,1.14
2025-12-29,002905,金逸影视,10.56,0.48
2025-12-29,688189,南新制药,8.05,0.12
2025-12-29,600546,山煤国际,10.23,0.89
2025-12-29,601009,南京银行,11.59,3.3
2025-12-29,002675,东诚药业,13.63,0.74
2025-12-29,603887,城地香江,13.8,-0.07
2025-12-29,603000,人民网,18.81,-0.37
2025-12-29,600637,东方明珠,9.98,5.83
2025-12-29,601059,信达证券,17.77,-0.17
2025-12-29,603110,东方材料,16.11,1.45
2025-12-29,002786,银宝山新,8.6,0.47
2025-12-29,688466,金科环境,16.33,0.93
2025-12-29,600072,中船科技,11.65,-0.09
