策略类型,信号总数,平均收益,盈利个数,预警个数,胜率,风险率
B_Low_Position_Start (低风险埋伏),19,-0.37%,10,7,52.63%,36.84%
E_Leader_Restart (二次启动),74,-0.75%,33,32,44.59%,43.24%
A_Strong_Pullback (中风险接力),25,-0.66%,10,9,40.00%,36.00%
C_New_Strategy (最高共振),2,7.40%,2,0,100.00%,0.00%
D_Strong_Breakout (高风险追涨/优化),2,-18.57%,0,2,0.00%,100.00%
